Year,Month,Station_ID,Station_Name,Water_Class,DO,BOD,TSS,pH,Temperature,Fecal_Coliform,DO_Temp_Ratio,pH_Deviation,WQI,WQI_Class
2021.0,5.0,4.0,Duenas Bridge,C,6.0,4.0,87.0,7.0,31.0,49000.0,0.1935483870967742,0.0,10078.915428571428,High Risk
2021.0,5.0,5.0,Downstream Passi II,C,5.9,2.0,103.0,7.0,31.0,49000.0,0.1903225806451613,0.0,10076.686714285715,High Risk
2021.0,5.0,6.0,Downstream Passi I,C,6.0,3.0,169.0,7.0,30.0,79000.0,0.2,0.0,16229.673238095238,High Risk
2021.0,5.0,7.0,Upstream Passi I,C,6.3,4.0,154.0,7.0,30.0,33000.0,0.21,0.0,6804.3010952380955,High Risk
2021.0,5.0,8.0,Calinog Bridge (Class A),A,6.6,2.0,49.0,7.0,28.0,540000.0,0.2357142857142857,0.0,110673.44371428572,High Risk
2021.0,5.0,9.0,"Alibunan Bridge, Upstream of Confluence (Class A)",A,6.6,3.0,696.0,7.0,29.0,79000.0,0.2275862068965517,0.0,16270.563904761904,High Risk
2021.0,6.0,1.0,"Inland Fisheries, Leganes",C,5.3,5.0,310.0,8.0,28.0,240000.0,0.18928571428571428,1.0,49239.684285714284,High Risk
2021.0,6.0,10.0,Alibunan Upstream (Class A),A,7.6,2.0,140.0,8.0,28.0,33000.0,0.2714285714285714,1.0,6801.1107142857145,High Risk
2021.0,6.0,2.0,Barotac Nuevo Bridge,C,5.9,6.0,427.0,8.0,28.0,130000.0,0.21071428571428572,1.0,26710.921142857143,High Risk
2021.0,6.0,3.0,Moroboro Dam,C,6.6,6.0,175.0,8.0,28.0,49000.0,0.2357142857142857,1.0,10091.922142857144,High Risk
2021.0,6.0,4.0,Duenas Bridge,C,6.6,6.0,373.0,7.0,28.0,240000.0,0.2357142857142857,0.0,49237.503142857146,High Risk
2021.0,6.0,7.0,Upstream Passi I,C,8.4,5.0,358.0,7.0,28.0,130000.0,0.3,0.0,26691.710285714285,High Risk
2021.0,6.0,8.0,Calinog Bridge (Class A),A,7.4,3.0,227.0,7.0,28.0,240000.0,0.2642857142857143,0.0,49218.27257142857,High Risk
2021.0,6.0,9.0,"Alibunan Bridge, Upstream of Confluence (Class A)",A,6.5,5.0,383.0,7.0,28.0,23000.0,0.23214285714285715,0.0,4773.355285714286,High Risk
2021.0,7.0,1.0,"Inland Fisheries, Leganes",C,7.2,4.0,876.0,7.0,29.0,23000.0,0.2482758620689655,0.0,4811.566761904762,High Risk
2021.0,7.0,10.0,Alibunan Upstream (Class A),A,7.5,1.0,203.0,7.0,27.0,240000.0,0.2777777777777778,0.0,49211.26052380952,High Risk
